Round;Total VCs (VisionCreators);New VCs;Invest Round (= new VCs * 365€);Total Invest Sum;;Token Emission Price;Token Per VC;Token emitted in this round;Total Shares (Token + reg. Capital);Added tokens to community token pool;Sum of token in com. token pool;Investment pool (SumInvests *0,75);Admin Pool (SumInvest * 0,25);Total value of both pools in €;Added value to both pools in this round in €;;
1;1;1;365 €;365 €;;1,00 €;365,00;365;25.475;110;110;274 €;91 €;383 €;383 €;;
2;2;1;365 €;730 €;;1,00 €;365,00;365;25.949;110;219;548 €;183 €;767 €;493 €;;
3;3;1;365 €;1.095 €;;1,00 €;365,00;365;26.424;110;329;821 €;274 €;1.150 €;602 €;;
4;5;2;730 €;1.825 €;;14,60 €;25,00;50;26.489;15;344;1.369 €;456 €;6.384 €;5.563 €;;
5;8;3;1.095 €;2.920 €;;18,25 €;20,00;60;26.567;18;362;2.190 €;730 €;8.787 €;7.419 €;;
6;13;5;1.825 €;4.745 €;;20,28 €;18,00;90;26.684;27;389;3.559 €;1.186 €;11.437 €;9.247 €;;
7;21;8;2.920 €;7.665 €;;29,20 €;12,50;100;26.814;30;419;5.749 €;1.916 €;17.969 €;14.410 €;;
8;34;13;4.745 €;12.410 €;;37,96 €;9,62;125;26.976;38;456;9.308 €;3.103 €;26.617 €;20.869 €;;
9;55;21;7.665 €;20.075 €;;51,10 €;7,14;150;27.171;45;501;15.056 €;5.019 €;40.657 €;31.350 €;;
10;89;34;12.410 €;132.485 €;;56,41 €;6,47;220;27.457;66;567;99.364 €;33.121 €;131.348 €;41.291 €;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
