Round;Total VCs (VisionCreators);New VCs;Invest Round (= new VCs * 365€);Total Invest Sum;Token Emission Price;Token Per VC;Token emitted in this round;Total Shares (Token + reg. Capital);Added tokens to community token pool;Sum of token in com. token pool;Investment pool (SumInvests *0,75);Admin Pool (SumInvest * 0,25);Total value of both pools in €;Added value to both pools in this round in €;Capital increase in % (from reg. capital);Reg. capital share of value;Founders + DAO Treasury (in % of all tokens);DAO Treasury (in % of all tokens);Per Founder Share (in % of all tokens);Min Valuation in €;DAO Treasury + Founders value in €;First round emission value (per VC);DAO Treasury’s value  in € ;All founders initial share combined value in €
1;1;1;365 €;365 €;1,00 €;365,00;365;25.475;110;110;274 €;91 €;383 €;383 €;1,43 %;98,14 %;99,57 %;83,42 %;4,30 %;25.475 €;25.000 €;365 €;21.250 €;3.750 €
2;2;1;365 €;730 €;1,00 €;365,00;365;25.949;110;219;548 €;183 €;767 €;493 €;1,41 %;96,34 %;99,16 %;81,89 %;4,22 %;25.949 €;25.000 €;365 €;21.250 €;3.750 €
3;3;1;365 €;1.095 €;1,00 €;365,00;365;26.424;110;329;821 €;274 €;1.150 €;602 €;1,38 %;94,61 %;98,76 %;80,42 %;4,14 %;26.424 €;25.000 €;365 €;21.250 €;3.750 €
4;5;2;730 €;1.825 €;14,60 €;25,00;50;26.489;15;344;1.369 €;456 €;6.384 €;5.563 €;0,19 %;94,38 %;98,51 %;80,22 %;4,13 %;386.732 €;365.000 €;5.329 €;310.250 €;54.750 €
5;8;3;1.095 €;2.920 €;18,25 €;20,00;60;26.567;18;362;2.190 €;730 €;8.787 €;7.419 €;0,23 %;94,10 %;98,23 %;79,99 %;4,12 %;484.839 €;456.250 €;6.661 €;387.813 €;68.438 €
6;13;5;1.825 €;4.745 €;20,28 €;18,00;90;26.684;27;389;3.559 €;1.186 €;11.437 €;9.247 €;0,34 %;93,69 %;97,79 %;79,64 %;4,10 %;541.082 €;506.944 €;7.401 €;430.903 €;76.042 €
7;21;8;2.920 €;7.665 €;29,20 €;12,50;100;26.814;30;419;5.749 €;1.916 €;17.969 €;14.410 €;0,37 %;93,24 %;97,32 %;79,25 %;4,08 %;782.954 €;730.000 €;10.658 €;620.500 €;109.500 €
8;34;13;4.745 €;12.410 €;37,96 €;9,62;125;26.976;38;456;9.308 €;3.103 €;26.617 €;20.869 €;0,46 %;92,67 %;96,73 %;78,77 %;4,06 %;1.024.009 €;949.000 €;13.855 €;806.650 €;142.350 €
9;55;21;7.665 €;20.075 €;51,10 €;7,14;150;27.171;45;501;15.056 €;5.019 €;40.657 €;31.350 €;0,55 %;92,01 %;96,04 %;78,21 %;4,03 %;1.388.438 €;1.277.500 €;18.652 €;1.085.875 €;191.625 €
10;89;34;12.410 €;132.485 €;56,41 €;6,47;220;27.457;66;567;99.364 €;33.121 €;131.348 €;41.291 €;0,80 %;91,05 %;95,04 %;77,39 %;3,99 %;1.548.824 €;1.410.227 €;20.589 €;1.198.693 €;211.534 €
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
